Дата,Субъект РФ,Инициаторы действия,Вид населенного пункта,Населенный пункт,Кластер,Тема,Объект,Вид объекта,Действие,Ссылка,,
28.06.2014,Воронежская область ,3. Региональные власти,1.Город,Россошь,2.СоцПол,2.8. ФОИВЫ,Пограничник,0. Обезличенные,1. Установка,http://www.mngz.ru/russia-world-sensation/579653-pod-voronezhem-poyavilsya-pamyatnik-pogranichniku.html,,
02.09.2014,Воронежская область,8. Неизвестно,1.Город,Воронеж,2.СоцПол,2.9 Иное,Железное дерево с продуктами,0. Обезличенные,1. Установка,http://www.vestivrn.ru/?idnews=22789&newscat=7,,
08.11.2014,Воронежская область,6. Частное лицо,2.Село,Петропавловка,1.Война,1.6. Иное,Летчик СУ-25,2. Группа,1. Установка,https://www.vrn.kp.ru/online/news/1890856/,,
09.11.2014,Воронежская область,6. Частное лицо,1.Город,Воронеж,2.СоцПол,2.3. Искусство,Михаил Горшенев,1. Личность,1. Установка,http://www.mngz.ru/russia-world-sensation/844013-v-voronezhe-otkryli-pamyatnik-lideru-korolya-i-shuta.html,,
07.05.2015,Воронежская область,8. Неизвестно,1.Город,Воронеж,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Иван Леонтьев,1. Личность,1. Установка,https://vestivrn.ru/news/pochtalonu-frontoviku-ivanu-leontevu-otkryili-pamyatnik-v-voronezhe_2015-5-7_14-40/,,
08.05.2015,Воронежская область,8. Неизвестно,2.Село,Углянец,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Николай Ватутин,1. Личность,1. Установка,https://www.vrn.kp.ru/online/news/2050854/,,
19.09.2015,Воронежская область,8. Неизвестно,1.Город,Воронеж,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Летчики ВОВ,0. Обезличенные,1. Установка,http://www.kp.ru/online/news/2168442/,,
06.11.2015,Воронежская область,3. Региональные власти,1.Город,Воронеж,2.СоцПол,2.3. Искусство,Самуил Маршак,1. Личность,1. Установка,https://ria.ru/20151028/1309608589.html,добавила,
05.07.2016,Воронежская область,6. Частное лицо,2.Село,Грибановка,2.СоцПол,2.7 Цари/императоры/вожди,Ленин,1. Личность,2. Реставрация,http://www.mngz.ru/russia-world-sensation/2052499-v-voronezhskom-raycentre-otkryli-pamyatnik-vladimiru-leninu.html,,
13.07.2016,Воронежская область,3. Региональные власти ,1.Город,Воронеж,3.Иное,3.Иное,Котенок с улицы Лизюкова,0. Обезличенные,2. Реставрация,https://riavrn.ru/news/v-voronezhe-nos-kotenka-s-ulitsy-lizyukova-pokrasili-v-rozovyy/,,
27.08.2016,Воронежская область,6. Частное лицо,2.Село,Землянск,2.СоцПол,2.3. Искусство,Илья Шатров,1. Личность,1. Установка,https://www.vrn.kp.ru/online/news/2493876/,,
09.12.2016,Воронежская область,8. Неизвестно,1.Город,Воронеж,1.Война,1.5. Локальные конфликты,Антон Ерыгин,1. Личность,1. Установка,https://ria.ru/20161209/1483193812.html,,
02.05.2017,Воронежская область,8. Неизвестно,1.Город,Семилуки,2.СоцПол,2.3. Искусство,Валентин Сидоров,1. Личность,1. Установка,https://www.vrn.kp.ru/online/news/2733616/,,
12.05.2017,Воронежская область,8. Неизвестно,2.Село,Кантемировка,2.СоцПол,2.9 Иное,Трактор Т-74,0. Обезличенные,1. Установка,https://www.vrn.kp.ru/online/news/2743320/,,
15.05.2017,Воронежская область,8. Неизвестно,1.Город,Борисоглебск,2.СоцПол,2.4. Религия,Борис и Глеб,2. Группа,1. Установка,https://www.vrn.kp.ru/online/news/2746231/,,
21.06.2017,Воронежская область,3. Региональные власти,1.Город,Воронеж,2.СоцПол,2.2. Образование и наука,Жуковский и Гагарин,1. Личность,1. Установка,https://www.mngz.ru/russia-world-sensation/3071676-v-voronezhe-ustanovili-byusty-zhukovskogo-i-gagarina.html,,
03.08.2017,Воронежская область,6. Частное лицо,1.Город,Бутурлиновка,2.СоцПол,2.6. Политика,Александр Бутурлин,1. Личность,1. Установка,https://vestivrn.ru/news/2017/08/03/v-voronezhskoy-oblasti-poyavilsya-pamyatnik-grafu-buturlinu_2017-8-3_15-10/,,
06.08.2017,Воронежская область,6. Частное лицо,1.Город,Борисоглебск,2.СоцПол,2.3. Искусство,Николай Рыбников,1. Личность,1. Установка,https://tass.ru/kultura/4465289,,
07.09.2017,Воронежская область,6. Частное лицо,1.Город,Воронеж,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Участники ВОВ,0. Обезличенные,2. Реставрация,https://www.mngz.ru/russia-world-sensation/3320227-v-centralnom-rayone-voronezha-otkryli-posle-rekonstrukcii-unikalnyy-pamyatnik-voinam-vov.html,,
16.09.2017,Воронежская областб,8. Неизвестно,1.Город,Воронеж,2.СоцПол,2.6. Политика,Виталий Воротников,1. Личность,1. Установка,https://www.vrn.kp.ru/online/news/2870367/,,
24.05.2018,Воронежская область,8. Неизвестно,1.Город,Калач,2.СоцПол,2.8. ФОИВЫ,Евгений Родионов,1. Личность,1. Установка,https://riavrn.ru/districts/kalacheyevsky/v-kalache-otkryli-pamyatnik-geroyu-pogranichniku-evgeniyu-rodionovu/,,
16.06.2018,Воронежская область,7. Смешанные,1.Город,Воронеж,1.Война,1.5. Локальные конфликты,Роман Филипов,1. Личность,1. Установка,https://smotrim.ru/video/21127544 https://ria.ru/20180615/1522796315.html https://tass.ru/obschestvo/5294187,,
15.10.2018,Воронежская область,8. Неизвестно,1.Город,Воронеж,2.СоцПол,2.3. Искусство,Николай Троицкий,1. Личность,1. Установка,https://vestivrn.ru/news/2018/10/15/v-voronezhe-ustanovili-pamyatnik-arkhitektoru-troickomu/,,
26.10.2018,Воронежская область,6. Частное лицо,1.Город,Воронеж,2.СоцПол,2.6. Политика,Комсомольцы,0. Обезличенные,1. Установка,https://vestivrn.ru/news/2018/10/26/v-voronezhskoi-oblasti-otkryli-pamyatnik-komsomolcam/,,
29.10.2018,Воронежская область,4. GONGO – неправительственные но работающие на государство организации,1.Город,Воронеж,2.СоцПол,2.8. ФОИВЫ,Бойцы спецназа и сотрудники органов госбезопасности,0. Обезличенные,1. Установка,https://vestivrn.ru/news/2018/10/29/v-voronezhe-otkryli-pamyatnik-boicam-specnaza/,,
19.11.2018,Воронежская область,3. Региональные власти ,1.Город,Воронеж,2.СоцПол,2.9 Иное,Погибшие в ДТП,0. Обезличенные,1. Установка,https://vrn.mk.ru/social/2018/11/19/v-voronezhe-otkryli-pamyatnik-pogibshim-v-dtp.html,,
06.02.2019,Воронежская область,6. Частное лицо,1.Город,Воронеж,2.СоцПол,2.4. Религия,Иоанн Кронштадский,1. Личность,1. Установка,https://vestivrn.ru/news/2019/02/06/v-voronezhe-ustanovili-pamyatnik-svyatomu-ioannu-kronshtadskomu/  https://www.vrn.kp.ru/online/news/3378461/ ,,
14.04.2019,Воронежская область,8. Неизвестно,1.Город,Борисоглебск,2.СоцПол,2.9 Иное,Союз ТМА-20М,0. Обезличенные,1. Установка,https://vestivrn.ru/news/2019/04/14/v-voronezhskoi-oblasti-ustanovili-pamyatnik-korabl-vernuvshii-na-zemlyu-ekipazh/,,
17.05.2019,Воронежская область,3. Региональные власти,1.Город,Воронеж,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Военные медики,2. Группа,1. Установка,http://www.vesti.ru/doc.html?id=3148255,,
23.05.2019,Воронежская область,8. Неизвестно,1.Город,Воронеж,2.СоцПол,2.9 Иное,Вильгельм Столль,1. Личность,1. Установка,https://vestivrn.ru/news/2019/05/23/v-voronezhe-ustanovili-pamyatnik-predprinimatelyu-vilgelmu-stollyu/,,
25.06.2019,Воронежская область,8. Неизвестно,1.Город,Воронеж,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Прасковья Щеголева,1. Личность,1. Установка,https://vestivrn.ru/news/2019/06/25/pozhertvovala-detmi-radi-lyotchika-podvig-praskovi-shyogolevoi-uvekovechili-pod-voronezhem/,,
30.07.2019,Воронежская область,7. Смешанные,1.Город,Воронеж,1.Война,1.6. Иное,Василий Маргелов,1. Личность,1. Установка,https://tass.ru/v-strane/6716711,,
07.10.2019,Тамбовская область,8. Неизвестно,1.Город,Моршанск,2.СоцПол,2.9 Иное,Первый паровоз,0. Обезличенные,1. Установка,https://chr.aif.ru/tambov/events/v_morshanske_tambovskoy_oblasti_otkryli_pamyatnik_pervomu_parovozu,,
15.10.2019,Воронежская область,8. Неизвестно,2.Село,Репное,2.СоцПол,2.3. Искусство,Лермонтов,1. Личность,1. Установка,https://vestivrn.ru/news/2019/10/15/stolichnyi-skulptor-sozdal-pamyatnik-lermontovu-dlya-starinnoi-voronezhskoi-usadby/,,
22.10.2019,Воронежская область,8. Неизвестно,1.Город,Воронеж,2.СоцПол,2.9 Иное,Материнство,0. Обезличенные,1. Установка,https://www.vrn.kp.ru/online/news/3649478/,,
20.12.2019,Воронежская область,8. Неизвестно,1.Город,Воронеж,2.СоцПол,2.3. Искусство,Архитектор Троицкий,1. Личность,1. Установка,https://vestivrn.ru/news/2019/12/20/v-centre-voronezha-otkryli-memorialnuyu-dosku-arkhitektoru-troickomu/,,
21.03.2020,Воронежская область ,8. Неизвестно,1.Город,Воронеж,2.СоцПол,2.3. Искусство,Михаил Горшенев ,1. Личность,2. Реставрация,https://vrn.aif.ru/culture/events/v_voronezhe_na_novom_meste_otkryli_pamyatnik_lideru_gruppy_korol_i_shut,,
08.05.2020,Воронежская область ,8. Неизвестно,1.Город,Нововоронеж ,1.Война,1.4. Великая Отечественная война/Вторая мировая война,141-я стрелковая дивизия ,0. Обезличенные,2. Реставрация,https://vestivrn.ru/news/2020/05/08/v-novovoronezhe-zavershili-rekonstrukciyu-voennogo-memoriala-zvyozdy-slavy/,,
29.08.2020,Воронежская область ,6. Частное лицо,1.Город,Острогожск,1.Война,1.4. Великая Отечественная война/Вторая мировая война,"Танк ""Беспощадный""",0. Обезличенные,1. Установка,https://tass.ru/v-strane/9322473,,
31.08.2020,Воронежская область ,8. Неизвестно,1.Город,Калач ,2.СоцПол,2.7 Цари/императоры/вожди,Николай II,1. Личность,1. Установка,https://vrn.aif.ru/society/details/v_voronezhskoy_oblasti_ustanovili_pervyy_pamyatnik_nikolayu_ii,,
19.10.2020,Воронежская область,3. Региональные власти,2.Село,Орлов,2.СоцПол,2.3. Искусство,Александр Песков,1. Личность,1. Установка,https://tass.ru/obschestvo/9755559,,
21.12.2020,Воронежская область,7. Смешанные,1.Город,Нововоронеж ,3.Иное,3.Иное,Аленка,0. Обезличенные,3. Демонтаж,https://ria.ru/20201221/alenka-1590225314.html,,
17.02.2021,Воронежская область,8. Неизвестно,1.Город,Воронеж,2.СоцПол,2.9 Иное,Вильгелм Столль,1. Личность,2. Реставрация,https://vrn.aif.ru/society/details/v_voronezhe_otremontirovali_pamyatnik_vilgelmu_stollyu,,
05.08.2021,Воронежская область,8. Неизвестно,1.Город,Воронеж,2.СоцПол,2.4. Религия,Петр и Феврония,2. Группа,1. Установка,https://vestivrn.ru/news/2021/08/05/u-voronezhskogo-grada-poyavitsya-park-s-krasnoknizhnymi-rasteniyami/,,
16.10.2021,Воронежская область,8. Неизвестно,1.Город,Воронеж,2.СоцПол,2.3. Искусство,Гавриилу Троепольскому,1. Личность,1. Установка,https://vestivrn.ru/news/2021/10/16/v-zakrytom-voronezhskom-orlyonke-ustanovili-pamyatnik-avtoru-belogo-bima/,,
18.10.2021,Воронежская область,8. Неизвестно,1.Город,Воронеж,2.СоцПол,2.7 Цари/императоры/вожди,Александр 2 ,1. Личность,1. Установка,https://vestivrn.ru/news/2021/10/18/pod-voronezhem-poyavilsya-pamyatnik-caryu-osvoboditelyu-aleksandru-ii/,,
21.12.2021,Воронежская область,7. Смешанные,1.Город,Нововоронеж ,3.Иное,3.Иное,Аленка,0. Обезличенные,3. Демонтаж,https://ria.ru/20201221/alenka-1590225314.html,,
18.07.2012,Ивановская область,8. Неизвестно,1.Город,Иваново,2.СоцПол,2.2. Образование и наука,Николай Бенардос,1. Личность,1. Установка,https://www.vladimir.kp.ru/daily/25917/2870089/,,
04.11.2012,Ивановская область,4. GONGO – неправительственные но работающие на государство организации,1.Город,Иваново,2.СоцПол,2.4. Религия,Георгий Победоносец,1. Личность,1. Установка,https://ria.ru/20121104/909647659.html,,
06.11.2012,Ивановская область,6. Частное лицо,2.Село,Лух,1.Война,1.6. Иное,Ополченцы Лухской земли,0. Обезличенные,1. Установка,https://ria.ru/20121106/909783755.html,,
19.09.2014,Ивановская область,8. Неизвестно,1.Город,Иваново,2.СоцПол,2.9 Иное,Дмитрий Бурылин,1. Личность,1. Установка,https://vlad.aif.ru/society/details/1342221,,
08.08.2015,Ивановская область,7. Смешанные,1.Город,Иваново,1.Война,1.4. Великая Отечественная война/Вторая мировая война,"Французские летчики авиаполка ""Нормандия-Неман""",0. Обезличенные,1. Установка,https://ria.ru/20150808/1171441147.html,Добавлено,
28.07.2016,Ивановская область ,8. Неизвестно,1.Город,Иваново,1.Война,1.3. Революция и Гражданская война,Михаил Фрунзе,1. Личность,2. Реставрация,https://ivteleradio.ru/news/2016/07/28/v_ivanove_zavershaetsya_restavraciya_pamyatnika_mihailu_frunze,,
22.11.2016,Ивановская область,8. Неизвестно,1.Город,Иваново,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Михаил Дудин,1. Личность,1. Установка,https://ria.ru/20161122/1481910406.html,добавила,
09.05.2017,Ивановская область,8. Неизвестно,2.Село,Колягино,1.Война,1.4. Великая Отечественная война/Вторая мировая война,"Воины, павшие на фронте в годы ВОВ",2. Группа,1. Установка,https://www.mngz.ru/russia-world-sensation/2951669-v-sele-kolyagino-osvyatili-memorial.html,,
22.06.2017,Ивановская область,2. Федеральные власти,1.Город,Иваново,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Советский солдат,0. Обезличенные,1. Установка,https://ria.ru/20170622/1497088444.html,повторяется,
22.09.2017,Ивановская область,8. Неизвестно,1.Город,Шуя,1.Война,1.3. Революция и Гражданская война,Революционеры города Шуя,2. Группа,2. Реставрация,https://www.mngz.ru/russia-world-sensation/3364918-v-shue-nachnetsya-restavraciya-pamyatnikov-revolyucionnoy-slavy.html,,
04.10.2017,Иваноская область,8. Неизвестно,1.Город,Иваново,2.СоцПол,2.8. ФОИВЫ,"Пожарные, погибшие при исполнении долга",2. Группа,1. Установка,https://ivteleradio.ru/news/2017/10/04/v_ivanove_otkryli_pamyatnik_pozharnym_pogibshim_pri_ispolnenii_dolga,,
07.10.2017,Ивановская область ,8. Неизвестно,1.Город,Иваново,3.Иное,3.Иное,Пожарные ,2. Группа,1. Установка,https://www.mngz.ru/russia-world-sensation/3416205-otkryli-pamyatnik-pogibshim-uchastnikam-velikoy-otechestvennoy-voyny.html,,
31.07.2018,Ивановская область,8. Неизвестно,1.Город,Кинешма,1.Война,1.6. Иное,Василий Маргелов,1. Личность,1. Установка,https://ivteleradio.ru/news/2018/07/31/v_kineshme_torzhestvenno_otkryli_pamyatnik_sozdatelyu_krylatoy_pehoty,,
08.10.2018,Ивановская область,8. Неизвестно,1.Город,Гаврилов Посад,2.СоцПол,2.8. ФОИВЫ,Пожарные,0. Обезличенные,1. Установка,https://www.mkivanovo.ru/social/2018/10/08/v-gavrilovom-posade-ustanovili-pamyatnik-pozharnym.html,,
22.10.2018,Ивановская область,6. Частное лицо,1.Город,Иваново,3.Иное,3.Иное,Конь,0. Обезличенные,1. Установка,https://ivteleradio.ru/news/2018/10/22/kon_s_gerba_kohmy_poselilsya_v_ivanove,,
10.06.2019,Ивановская область,8. Неизвестно,2.Село,Алферьево,2.СоцПол,2.7 Цари/императоры/вожди,Александр II,1. Личность,1. Установка,https://ivteleradio.ru/news/2019/06/10/v_ivanovskoy_oblasti_ustanovili_byust_imperatora_aleksandra_ii,,
16.07.2019,Ивановская область,8. Неизвестно,2.Село,Ерёмино,2.СоцПол,2.7 Цари/императоры/вожди,Николай II,1. Личность,1. Установка,https://ivteleradio.ru/news/2019/07/16/v_ivanovskoy_oblasti_ustanovili_byust_nikolaya_ii,,
27.11.2019,Ивановская область,8. Неизвестно,1.Город,Иваново,2.СоцПол,2.9 Иное,Глеб Котельников,1. Личность,1. Установка,https://ria.ru/20191127/1561648909.html,добавила,
14.09.2020,Ивановская область ,7. Смешанные,1.Город,Плёс ,2.СоцПол,2.3. Искусство,Фёдор Шаляпин ,1. Личность,1. Установка,https://ivteleradio.ru/video/2020/09/14/v_plese_poyavilas_novaya_dostoprimechatelnost,,
11.08.2021,Ивановская область,8. Неизвестно,1.Город,Иваново,1.Война,1.6. Иное,Владимир Жуков,1. Личность,1. Установка,https://www.mkivanovo.ru/social/2021/08/11/v-ivanove-ustanovili-byust-poetufrontoviku.html,,
16.09.2021,Ивановская область,8. Неизвестно,1.Город,Иваново,3.Иное,3.Иное,Молекула,0. Обезличенные,1. Установка,https://www.mkivanovo.ru/social/2021/09/16/v-ivanove-poyavilsya-pamyatnik-molekule.html,,
25.10.2021,Ивановская область,8. Неизвестно,2.Село,Лежнево,1.Война,1.6. Иное,Десантники,2. Группа,1. Установка,https://www.mkivanovo.ru/social/2021/10/25/v-ivanovskoy-oblasti-otkryt-pamyatnik-desantnikam.html,,
21.12.2012,Калужская область,8. Неизвестно,1.Город,Калуга,2.СоцПол,2.2. Образование и наука,Александр Чижевский,1. Личность,1. Установка,http://www.vesti.ru/doc.html?id=989342,,
06.09.2013,Калужская область,8. Неизвестно,1.Город,Калуга,2.СоцПол,2.5. Здравоохранение,Святослав Фёдоров,1. Личность,1. Установка,https://www.kp40.ru/news/accomp/21976/,,
14.09.2013,Калужская область,8. Неизвестно,1.Город,Таруса,2.СоцПол,2.3. Искусство,Белла Ахмадулина,1. Личность,1. Установка,"http://kaluga.rfn.ru/rnews.html?id=42294&cid=7, http://tvkultura.ru/article/show/article_id/99342",,
13.05.2014,Калужская область,6. Частное лицо,1.Город,Обнинск,2.СоцПол,2.9 Иное,Испанские дети,0. Обезличенные,2. Реставрация,http://www.admobninsk.ru/news/2011/10/10/news_1021.html?curPos=&template=97,,
26.08.2014,Калужская область,8. Неизвестно,1.Город,Калуга ,3.Иное,3.Иное,Городовой,0. Обезличенные,1. Установка,http://kaluga.rfn.ru/rnews.html?id=58292,,
05.09.2014,Калужская область,2. Федеральные власти,1.Город,Калуга ,2.СоцПол,2.3. Искусство,Николай Гоголь,1. Личность,1. Установка,https://tass.ru/kultura/1421709?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com,,
06.10.2014,Калужская область,4. GONGO – неправительственные но работающие на государство организации,1.Город,Малоярославец,1.Война,1.1. Отечественная война 1812 г.,Отец Василий Васильковский,1. Личность,1. Установка,https://www.kp.ru/daily/26291.5/3169119/,,
08.05.2015,Калужская область,8. Неизвестно,1.Город,Калуга,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Георгий Жуков ,1. Личность,1. Установка,https://tass.ru/obschestvo/1957663,,
31.07.2015,Калужская область ,3. Региональные власти,2.Село,Бабынино,3.Иное,3.Иное,Картошка,0. Обезличенные,1. Установка,http://kaluga24.tv/kartoshku-uvekovechili-v-monumente/,,
15.08.2015,Калужская область ,7. Смешанные,1.Город,Жиздра,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Жиздринские Хатыни,2. Группа,1. Установка,http://www.mngz.ru/russia-world-sensation/1337883-v-regione-torzhestvenno-otkryli-pamyatnik-zhizdrinskie-hatyni.html,,
22.08.2015,Калужская область,7. Смешанные,1.Город,Калуга,2.СоцПол,2.4. Религия,Лаврентий Калужский,1. Личность,1. Установка,http://www.kp.ru/daily/26424/3297234/,,
10.07.2016,Калужская область ,7. Смешанные,1.Город,Таруса,2.СоцПол,2.5. Здравоохранение,Ефрем Мухин,1. Личность,1. Установка,https://gtrk-kaluga.ru/news/obschestvo/news-2150,,
15.07.2016,Калужская область,7. Смешанные,1.Город,Обнинск,2.СоцПол,2.2. Образование и наука,Первопроходцы атомной энергетики,0. Обезличенные,1. Установка,https://nikatv.ru/news/guberniya/v-obninske-otkryli-pamyatnik-pervoprohodcam-atomnoy-energetiki,,
29.07.2016,Калужская область,6. Частное лицо,1.Город,Обнинск,1.Война,1.4. Великая Отечественная война/Вторая мировая война,МиГ-29,0. Обезличенные,1. Установка,https://tass.ru/v-strane/3497380 http://www.mngz.ru/russia-world-sensation/2114483-v-obninske-otkryli-pamyatnik-doblesti-i-ratnogo-podviga-istrebitel-mig-29.html,,
29.07.2016,Калужская область ,3. Региональные власти,2.Село,Белкино,1.Война,1.2. Первая мировая война,Георгиевский крест,0. Обезличенные,1. Установка,https://gtrk-kaluga.ru/news/obschestvo/news-2317,,
31.07.2016,Калужская область,7. Смешанные,1.Город,Калуга ,2.СоцПол,2.7 Цари/императоры/вожди,Николай 2,1. Личность,1. Установка,https://tass.ru/obschestvo/3500165,,
12.08.2016,Калужская область,8. Неизвестно,3.Иное,Гнездиловская высота,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Солдат ВОВ,0. Обезличенные,1. Установка,http://www.mngz.ru/russia-world-sensation/2147314-na-gnezdilovskoy-vysote-v-spas-demenskom-rayone-ustanovili-pamyatnik-soldatu-velikoy-otechestvennoy.html,,
15.10.2016,Калужская область,,1.Город,Медынь,2.СоцПол,2.7 Цари/императоры/вожди,Ленин,1. Личность,2. Реставрация,http://www.mngz.ru/russia-world-sensation/2315571-v-medyni-remontiruyut-pamyatnik-leninu.html,НАЧАТ РЕМОНТ,
17.11.2016,Калужская область,7. Смешанные,2.Село,Похвиснево,2.СоцПол,2.8. ФОИВЫ,Участковый,0. Обезличенные,1. Установка,https://gtrk-kaluga.ru/news/obschestvo/news-3290,,
15.06.2017,Калужская область,7. Смешанные,1.Город,Калуга,2.СоцПол,2.7 Цари/императоры/вожди,Иван III,1. Личность,1. Установка,https://ria.ru/20170615/1496551223.html http://gtrk-kaluga.ru/news/obschestvo/news-6523 https://ria.ru/20171112/1508646784.html,добавила,
23.06.2017,Калужская область,3. Региональные власти,1.Город,Калуга,2.СоцПол,2.6. Политика,Феликс Дзержинский,1. Личность,2. Реставрация,https://gtrk-kaluga.ru/news/obschestvo/news-5079    https://www.mngz.ru/russia-world-sensation/3084593-pamyatnik-dzerzhinskomu-vnov-otkryli-v-kaluge.html ,,
26.06.2017,Калужская область,7. Смешанные,1.Город,Калуга,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Фронтовой хирург,0. Обезличенные,1. Установка,https://gtrk-kaluga.ru/news/obschestvo/news-5089 https://tass.ru/v-strane/4365419,,
30.09.2017,Калужская область,7. Смешанные,2.Село,Лопатино,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Погибшие воины ВОВ,0. Обезличенные,1. Установка,https://www.mngz.ru/russia-world-sensation/3416205-otkryli-pamyatnik-pogibshim-uchastnikam-velikoy-otechestvennoy-voyny.html,,
29.10.2017,Калужская область,8. Неизвестно,1.Город,Боровск,2.СоцПол,2.9 Иное,Жертвы политических репрессий,0. Обезличенные,1. Установка,https://www.mngz.ru/russia-world-sensation/3486898-v-borovske-otkryli-pamyatnik-zhertvam-politicheskih-repressiy.html,,
20.11.2017,Калужская область,8. Неизвестно,1.Город,Обнинск,2.СоцПол,2.4. Религия,Петр и Феврония,2. Группа,1. Установка,http://gtrk-kaluga.ru/news/obschestvo/news-6591,,
13.12.2017,Калужская область,6. Частное лицо,1.Город,Ермолино,1.Война,1.5. Локальные конфликты,Погибшие в Чечне летчики,2. Группа,1. Установка,https://www.mngz.ru/russia-world-sensation/3615405-v-kaluzhskoy-oblasti-otkryli-pamyatnik-letchikam-pogibshim-pri-ispolnenii-boevogo-dolga.html https://www.mngz.ru/russia-world-sensation/3616735-v-ermolino-otkryli-pamyatnik-pogibshim-letchikam.html,,
24.04.2019,Калужская область,7. Смешанные,2.Село,Большие Савки,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Падение Пе-2,2. Группа,1. Установка,http://www.vesti.ru/doc.html?id=3144938 https://nikatv.ru/news/obshestvo/vkirovskom-rayone-nameste-padeniya-sovetskogo-bombardirovschika-ustanavlivayut-pamyatnik,,
26.06.2019,Калужская область,3. Региональные власти,1.Город,Калуга,1.Война,1.5. Локальные конфликты,"Солдаты, погибшие на службе",2. Группа,1. Установка,http://gtrk-kaluga.ru/news/obschestvo/news-14192,,
17.08.2019,Калужская область,5. НПО,1.Город,Калуга,3.Иное,3.Иное,Потерянное время,0. Обезличенные,1. Установка,http://gtrk-kaluga.ru/news/obschestvo/news-14866,,
08.05.2020,Калужская область,3. Региональные власти,1.Город,Калуга ,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Герои-освободители,2. Группа,1. Установка,https://kaluga.aif.ru/society/details/v_boru_otkryli_pamyatnik_voinam_osvobodivshim_kalugu,,
22.06.2020,Калужская область ,6. Частное лицо,2.Село,Кузминичи ,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Без вести пропавшие солдаты ВОВ,0. Обезличенные,1. Установка,https://gtrk-kaluga.ru/news/obschestvo/news-20394  https://ria.ru/20200622/1573312565.html ,,
03.08.2020,Калужская область ,3. Региональные власти,1.Город,Сухиничи ,2.СоцПол,2.9 Иное,Паровоз серии «Л»,0. Обезличенные,1. Установка,https://gtrk-kaluga.ru/news/obschestvo/news-21374,,
11.09.2020,Калужская область ,6. Частное лицо,1.Город,Обнинск ,2.СоцПол,2.2. Образование и наука,Учитель ,0. Обезличенные,1. Установка,https://www.kaluga.kp.ru/daily/217181.5/4285866/,,
18.10.2020,Калужская область,2. Федеральные власти ,1.Город,Боровск ,2.СоцПол,2.4. Религия,Аваакум Петров,1. Личность,1. Установка,https://ruvera.ru/news/monument_abbakum_borovsk,,
27.10.2020,Калужская область,6. Частное лицо,1.Город,Калуга ,2.СоцПол,2.5. Здравоохранение,"Врачи, борющиеся с коронавирусом",2. Группа,1. Установка,https://www.vesti.ru/article/2477839,,
09.12.2020,Калужская область,8. Неизвестно,1.Город,Калуга,3.Иное,3.Иное,Калужское тесто,0. Обезличенные,1. Установка,https://gtrk-kaluga.ru/news/obschestvo/news-24257,,
16.12.2020,Калужская область,6. Частное лицо,1.Город,Калуга,2.СоцПол,2.9 Иное,Первопроходцы атомного флота,0. Обезличенные,2. Реставрация,https://gtrk-kaluga.ru/news/obschestvo/news-24430,,
16.08.2021,Калужская область,7. Смешанные,1.Город,Калуга,2.СоцПол,2.2. Образование и наука,Константин Циолковский,1. Личность,2. Реставрация,https://www.mkkaluga.ru/incident/2021/08/16/v-kaluge-vosstanavlivayut-posle-ocherednogo-vandalizma-skulpturu-ciolkovskogo.html,,
14.09.2021,Калужская область,8. Неизвестно,1.Город,Кондрово,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Воин-освободитель,0. Обезличенные,2. Реставрация,"https://www.kaluga.kp.ru/daily/28330/4474808/",,
18.09.2021,Калужская область,6. Частное лицо,1.Город,Калуга ,2.СоцПол,2.9 Иное,Рабочий ,0. Обезличенные,2. Реставрация,"https://gtrk-kaluga.ru/news/obschestvo/news-29221",,
08.10.2021,Калужская область,3. Региональные власти,1.Город,Боровск ,1.Война,1.6. Иное,Дмитрий Сенявин,1. Личность,1. Установка,http://kaluga.rfn.ru/rnews.html?id=43248&cid=7 https://kaluga.bezformata.com/listnews/pamyatnik-admiralu-dmitriyu-senyavinu/14640068/ http://www.vesti.ru/videos?vid=543794&cid=1,,
21.10.2021,Калужская область,8. Неизвестно,1.Город,Калуга,,,Неизвестно,1. Личность,1. Установка,https://gtrk-kaluga.ru/news/obschestvo/news-29930,,
21.10.2021,Калужская область,2. Федеральные власти,1.Город,Калуга ,2.СоцПол,2.4. Религия,Елизавете Федоровна,1. Личность,1. Установка,"https://gtrk-kaluga.ru/news/obschestvo/news-29930
   https://ria.ru/20211021/pamyatnik-1755701651.html ",,
